Name	Ident_A	Ident_B	Ident_C	Ident_D	ID	RI_Agilent	RI_Restek	RI_Thermo	Author
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	0	1047	1053	1042	MauiSILVIAPHJLK
Lactic acid_(2TMS)_MP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	1	1053	1065	1053	MauiSILVIAPHJLK
Valine_(1TMS)_BP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	2	1085	1087	1081	MauiSILVIAPHJLK
Alanine_(2TMS)_BP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	3	1091	1106	1096	MauiSILVIAPHJLK
Acetoacetic acid_(1MEOX)(1TMS)_BP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	4	1113	1119	1111	contrib by M. Pietzke 
Glycine_(2TMS)_BP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	5	1117	1124	1116	MauiSILVIAPHJLK
Acetoacetic acid_(1MEOX)(1TMS)_MP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	6	1132	1139	1130	contrib by M. Pietzke 
Leucine_(1TMS)_BP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	7	1153	1158	1151	MauiSILVIAPHJLK
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	8	1155	1167	1156	MauiSILVIAPHJLK
Butanoic acid_ 2-amino-_(2TMS)_MP_RI:XXXX_IDENT:C+D	FALSE	FALSE	TRUE	TRUE	9	1167	1180	1168	MauiSILVIAPHJLK
Proline_(1TMS)_BP_RI:XXXX_IDENT:A+B	TRUE	TRUE	FALSE	FALSE	10	1173	1175	1168	MauiSILVIAPHJLK
Isoleucine_(1TMS)_BP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	11	1175	1179	1172	MauiSILVIAPHJLK
Alanine_ beta-_(2TMS)_BP_RI:XXXX_IDENT:A+D	TRUE	FALSE	FALSE	TRUE	12	1189	1197	1188	MauiSILVIAPHJLK
Isobutanoic acid_ 3-amino-_(2TMS)_BP_RI:XXXX_IDENT:B+C	FALSE	TRUE	TRUE	FALSE	13	1208	1220	1208	MauiSILVIAPHJLK
Valine_(2TMS)_MP_RI:XXXX_IDENT:B+D	FALSE	TRUE	FALSE	TRUE	14	1213	1230	1215	MauiSILVIAPHJLK
Urea_(2TMS)_MP_RI:XXXX_IDENT:A+C	TRUE	FALSE	TRUE	FALSE	15	1249	1253	1247	MauiSILVIAPHJLK
